combat_injuries,combat,55
combat_injuries,wounded,18
combat_injuries,explosives,11
combat_injuries,weapons,10
combat_injuries,world_war,9
combat_injuries,exposure,9
combat_injuries,shrapnel,9
combat_injuries,leishmaniasis,7
combat_injuries,soft-tissue_injuries,7
combat_injuries,combat-related_injuries,6
combat_injuries,less,6
combat_injuries,collaboration,6
combat_injuries,attack,5
combat_injuries,heterotopic_ossification,5
combat_injuries,terrorists,4
combat_injuries,burden,4
combat_injuries,neck_trauma,4
combat_injuries,wound_closure,4
combat_injuries,consciousness,4
combat_injuries,recognition,4
combat_injuries,psychological_trauma,3
combat_injuries,Orthopaedic_injuries,3
combat_injuries,extremity_trauma,3
combat_injuries,war_veterans,3
combat_injuries,anesthesia,3
combat_injuries,symptoms_of_posttraumatic_stress_disorder,3
combat_injuries,colostomy,3
combat_injuries,morbidity,3
combat_injuries,trauma_patients,3
combat_injuries,war_trauma,2
combat_injuries,firearms,2
combat_injuries,spinal_cord,2
combat_injuries,brain,2
combat_injuries,armed_conflict,2
combat_injuries,severe_injuries,2
combat_injuries,neck_injuries,2
combat_injuries,young_children,2
combat_injuries,wound_care,2
combat_injuries,reconstructive_surgery,1
combat_injuries,spouses,1
combat_injuries,veterans_with_PTSD,1
combat_injuries,Croatia,1
combat_injuries,terrorist_attacks,1
combat_injuries,projectiles,1
combat_injuries,solidarity,1
combat_injuries,anemia,1
combat_injuries,cognitive_behavioral_therapy,1
combat_injuries,pain_intensity,1
combat_injuries,sleep_disturbance,1
combat_injuries,war_activities,1
combat_injuries,lung,1
combat_injuries,north,1
combat_injuries,OIF_veterans,1
combat_injuries,females,1
combat_injuries,conflict_zone,1
combat_injuries,Korean_War,1
combat_injuries,functional_disability,1
combat_injuries,judgments,1
combat_injuries,child_health,1
combat_injuries,hematoma,1
combat_injuries,intelligence,1
combat_injuries,wall,1
combat,wounded,226
combat,explosives,108
combat,weapons,56
combat,exposure,333
combat,leishmaniasis,3
combat,soft-tissue_injuries,13
combat,combat-related_injuries,158
combat,less,240
combat,collaboration,9
combat,heterotopic_ossification,45
combat,terrorists,22
combat,burden,62
combat,wound_closure,52
combat,consciousness,40
combat,recognition,35
combat,psychological_trauma,24
combat,extremity_trauma,35
combat,anesthesia,16
combat,symptoms_of_posttraumatic_stress_disorder,51
combat,colostomy,5
combat,trauma_patients,69
combat,war_trauma,24
combat,spinal_cord,14
combat,brain,65
combat,armed_conflict,51
combat,severe_injuries,20
combat,young_children,8
combat,wound_care,19
combat,reconstructive_surgery,1
combat,spouses,30
combat,Croatia,22
combat,terrorist_attacks,11
combat,anemia,7
combat,cognitive_behavioral_therapy,2
combat,pain_intensity,13
combat,sleep_disturbance,33
combat,war_activities,1
combat,lung,18
combat,north,30
combat,OIF_veterans,36
combat,conflict_zone,2
combat,Korean_War,29
combat,judgments,12
combat,wall,3
wounded,explosives,53
wounded,weapons,54
wounded,exposure,32
wounded,leishmaniasis,3
wounded,soft-tissue_injuries,7
wounded,combat-related_injuries,11
wounded,less,83
wounded,heterotopic_ossification,4
wounded,terrorists,26
wounded,burden,23
wounded,wound_closure,7
wounded,consciousness,2
wounded,recognition,10
wounded,psychological_trauma,1
wounded,extremity_trauma,4
wounded,anesthesia,23
wounded,symptoms_of_posttraumatic_stress_disorder,2
wounded,colostomy,12
wounded,trauma_patients,17
wounded,war_trauma,13
wounded,spinal_cord,2
wounded,brain,28
wounded,armed_conflict,125
wounded,severe_injuries,12
wounded,young_children,1
wounded,wound_care,3
wounded,reconstructive_surgery,18
wounded,Croatia,102
wounded,anemia,3
wounded,pain_intensity,2
wounded,sleep_disturbance,3
wounded,war_activities,2
wounded,lung,16
wounded,north,21
wounded,OIF_veterans,5
wounded,conflict_zone,3
wounded,judgments,4
