stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
correlation histologic presence	correlation with histologic presence	correlation with histologic presence	4	3,9714236158	24,709315429	261,052752862	2,0	38,0	 
control pathway	pathway controls	pathway controls|&|control pathway|&|pathway in the control	2	6,29455750551	36,2643122592	255,941930878	4,0	57,0	 
muscle skeletal	skeletal muscle	skeletal muscle|&|skeletal muscles	2	7,86819688189	47,5939295094	102,059352296	5,0	68,0	 
cell increase	cells increases	cells increases|&|increases as the cells	2	4,72091812914	28,5563577056	126,720629114	3,0	63,0	 
different region	different regions	different regions	2	9,44183625827	50,5681332296	134,826865632	6,0	101,0	 
radiation surgery therapy	surgery or radiation therapy	surgery or radiation therapy	4	3,9714236158	24,709315429	486,842685836	2,0	26,0	 
effect inhibitory	inhibitory effects	inhibitory effects|&|inhibitory effect|&|Inhibitory effects	2	34,6200662803	145,510647474	287,782078586	23,0	317,0	 
cell progenitor-like retinal	retinal progenitor-like cells	retinal progenitor-like cells	3	3,9714236158	24,709315429	528,974478597	2,0	23,0	 
analysis such	Such analyses	Such analyses|&|analysis such|&|such analysis	2	4,72091812914	28,5563577056	140,888371407	3,0	57,0	 
association study	association studies	association studies|&|studies on the associations	2	17,3100331402	85,6896297957	238,803240366	20,0	274,0	 
cell epithelial kidney normal rat	normal rat kidney epithelial cells	normal rat kidney epithelial cells	5	7,94284723159	43,9130686939	316,524521881	8,0	124,0	 
cell epithelial pigment retinal	retinal pigment epithelial cells	retinal pigment epithelial cells	4	5,95713542369	34,648562585	103,147520454	3,0	64,0	 
breast cancer-specific survival	breast cancer-specific survival	breast cancer-specific survival	3	7,94284723159	43,9130686939	189,971209253	4,0	48,0	 
Preoperative axillary breast cancer ultrasound	Preoperative axillary ultrasound in breast cancer	Preoperative axillary ultrasound in breast cancer	6	3,9714236158	24,709315429	255,215236456	2,0	34,0	 
concentration different	different concentrations	different concentrations|&|different concentration	2	11,0154756347	57,2981123768	158,951512783	9,0	150,0	 
kinase receptor tyrosine	receptor tyrosine kinase	receptor tyrosine kinase|&|tyrosine kinase receptor	3	7,94284723159	43,9130686939	158,877137607	4,0	69,0	 
